,CVE_ENT_x,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018,CVEGEO,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,LONGITUD,LATITUD,CVE_MUN,NOMGEO
160,15,México,Zumpango,,,M09.01,Valle de México,198245,15120,71413.0,99774,159647,280455,99.10063388888888,19.797123055555556,120,Zumpango
161,15,México,Ixtapaluca,,,M09.01,Valle de México,545581,15039,137357.0,297570,467361,542211,98.88424722222223,19.313104444444445,039,Ixtapaluca
162,15,México,Tlalnepantla de Baz,,,M09.01,Valle de México,719304,15104,702807.0,721415,664225,672202,99.19519833333334,19.538523333333334,104,Tlalnepantla de Baz
163,15,México,San Martín de las Pirámides,,,M09.01,Valle de México,29739,15075,13563.0,19694,24851,29182,98.83452444444444,19.704843333333333,075,San Martín de las Pirámides
164,15,México,Huehuetoca,,,M09.01,Valle de México,143548,15035,25529.0,38458,100023,163244,99.20413805555556,19.833621666666666,035,Huehuetoca
165,15,México,Tlalmanalco,,,M09.01,Valle de México,52242,15103,32984.0,42507,46130,49196,98.80255361111111,19.20590333333333,103,Tlalmanalco
166,15,México,Otzolotepec,,,M15.02,Toluca,93384,15067,40407.0,57583,78146,88783,99.55858944444444,19.416206388888888,067,Otzolotepec
167,15,México,Tenango del Valle,,,M15.02,Toluca,91996,15090,45952.0,65119,77965,90518,99.59157499999999,19.103760833333336,090,Tenango del Valle
168,15,México,Amecameca,,,M09.01,Valle de México,53514,15009,36321.0,45255,48421,53441,98.76981055555555,19.128685,009,Amecameca
169,15,México,Ecatzingo,,,M09.01,Valle de México,11095,15034,5808.0,7916,9369,10827,98.75259805555555,18.958714999999998,034,Ecatzingo
170,16,Michoacán de Ocampo,Tarímbaro,,,M16.02,Morelia,101928,16088,33871.0,39408,78623,114513,101.17639194444445,19.79566555555556,088,Tarímbaro
171,16,Michoacán de Ocampo,Morelia,,,M16.02,Morelia,783026,16053,492901.0,620532,729279,849053,101.1920463888889,19.703383888888887,053,Morelia
